Problema,Algoritmo,M (Objetivos),N (Variáveis),Semente,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
DTLZ3,NSGA2deap,7,16,1,0.0,130.73702333629396,288.5337267171291,,
DTLZ3,NSGA2deap,7,16,2,0.0,208.56953586306926,304.298164102613,,
DTLZ3,NSGA2deap,7,16,3,0.0,276.3273237419594,325.82435337253906,,
DTLZ3,NSGA2deap,7,16,4,0.0,133.17461228660676,282.4650138379038,,
DTLZ3,NSGA2deap,7,16,5,0.0,339.6328881930701,315.0954317915349,,
DTLZ3,NSGA2deap,7,16,6,0.0,188.57725543332674,246.98472679422042,,
DTLZ3,NSGA2deap,7,16,7,0.0,120.07381836710417,283.7976558256158,,
DTLZ3,NSGA2deap,7,16,8,0.0,110.62426364995683,277.77528023565094,,
DTLZ3,NSGA2deap,7,16,9,0.0,159.84455702792732,302.7563434249499,,
DTLZ3,NSGA2deap,7,16,10,0.0,119.17192955903168,293.823816909554,,
DTLZ3,NSGA2deap,7,16,11,0.0,121.12413021452352,316.77609030269275,,
DTLZ3,NSGA2deap,7,16,12,0.0,186.8503376911935,302.8977723091127,,
DTLZ3,NSGA2deap,7,16,13,0.0,191.12392389618597,302.73293822777504,,
DTLZ3,NSGA2deap,7,16,14,0.0,112.69731578410568,275.2204219749167,,
DTLZ3,NSGA2deap,7,16,15,0.0,150.7020027338477,284.45593983763086,,
DTLZ3,NSGA2deap,7,16,16,0.0,155.18315052417572,303.1263402928964,,
DTLZ3,NSGA2deap,7,16,17,0.0,183.84835656779342,302.40237377480406,,
DTLZ3,NSGA2deap,7,16,18,0.0,93.85845565215963,285.59193591471814,,
DTLZ3,NSGA2deap,7,16,19,0.0,151.06892431709127,299.09632038526445,,
DTLZ3,NSGA2deap,7,16,20,0.0,180.1509995516191,288.01389373362304,,
DTLZ3,NSGA2deap,7,16,21,0.0,176.60533862895892,289.3361683939557,,
DTLZ3,NSGA2deap,7,16,22,0.0,106.53082513907086,269.88783181010086,,
DTLZ3,NSGA2deap,7,16,23,0.0,130.35831728547086,265.05169022038666,,
DTLZ3,NSGA2deap,7,16,24,0.0,342.85083714685993,277.3692282425224,,
DTLZ3,NSGA2deap,7,16,25,0.0,157.2586431078789,277.7964809986892,,
DTLZ3,NSGA2deap,7,16,26,0.0,155.69194290779873,318.9982106306927,,
DTLZ3,NSGA2deap,7,16,27,0.0,182.092409898346,324.1762110540645,,
DTLZ3,NSGA2deap,7,16,28,0.0,218.33939382104458,270.48727408587695,,
DTLZ3,NSGA2deap,7,16,29,0.0,151.86770420962208,311.78479603944646,,
DTLZ3,NSGA2deap,7,16,30,0.0,163.57772321342162,293.9048629591977,,
DTLZ3,MEAMT,7,16,1,1.8099879296510013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,2,1.8078638280120014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,3,1.8110012625430012,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,4,1.8104751089260014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,5,1.8083704944580015,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,6,1.8091499812980012,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,7,1.8108453651750014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,8,1.8108258780040012,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,9,1.8088576737330013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,10,1.8072402385400013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,11,1.8104751089260014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,12,1.8065971618970011,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,13,1.8098515194540012,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,14,1.8092474171530013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,15,1.8102022885320013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,16,1.8112545957660013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,17,1.8107674164910013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,18,1.8107284421490013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,19,1.8086433148520011,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,20,1.8118586980670013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,21,1.8092863914950013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,22,1.8090915197850013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,23,1.8106699806360014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,24,1.8120340826060013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,25,1.8120145954350013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,26,1.8084484431420011,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,27,1.8096176734020013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,28,1.8099684424800013,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,29,1.8099294681380014,0.1410641881093992,9.771086526197074,,
DTLZ3,MEAMT,7,16,30,1.8106115191230014,0.1410641881093992,9.771086526197074,,
DTLZ3,NSGA3,7,16,1,0.5721628277310004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,2,0.5728643658870004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,3,0.5730592375970004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,4,0.5678561629400004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,5,0.5706233412220004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,6,0.5723187250990004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,7,0.5707012899060004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,8,0.5755925698270005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,9,0.5706038540510004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,10,0.5705843668800005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,11,0.5654202665650004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,12,0.5707987257610004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,13,0.5700582132630004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,14,0.5713638537200004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,15,0.5705843668800005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,16,0.5680900089920005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,17,0.5687915471480004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,18,0.5684212908990004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,19,0.5728643658870004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,20,0.5700192389210004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,21,0.5700971876050004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,22,0.5669792402450003,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,23,0.5736243655560005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,24,0.5739751346340005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,25,0.5718705201660004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,26,0.5697269313560004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,27,0.5737218014110004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,28,0.5692592392520004,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,29,0.5692007777390005,1.0401479668477804,0.32558921561360005,,
DTLZ3,NSGA3,7,16,30,0.5704674438540004,1.0401479668477804,0.32558921561360005,,
DTLZ3,MEAMT-ENXUTO,7,16,1,1.3386712118450008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,2,1.337424032901001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,3,1.3341112138310012,0.1754839580183466,10.113523456745959,,
